client_id,segment
708082083,golden_fish
708085458,bill_payer
708086958,bill_payer
708095133,barrel_scraper
708099183,bill_payer
708100533,card_master
708103608,golden_fish
708104658,card_master
708112008,barrel_scraper
708113208,bill_payer
708119658,barrel_scraper
708123033,golden_fish
708125733,bill_payer
708128733,bill_payer
708129933,card_master
708132783,bill_payer
708134283,barrel_scraper
708136908,card_master
708145908,card_master
708147108,bill_payer
708148158,bill_payer
708151008,barrel_scraper
708153558,golden_fish
708155733,barrel_scraper
708160008,golden_fish
708161133,bill_payer
708162558,barrel_scraper
708163758,golden_fish
708171858,barrel_scraper
708173433,bill_payer
708174708,barrel_scraper
708176208,bill_payer
708177333,barrel_scraper
708178608,bill_payer
708185208,barrel_scraper
708193008,bill_payer
708195633,bill_payer
708204033,card_master
708205083,bill_payer
708207783,bill_payer
708208758,barrel_scraper
708211383,bill_payer
708212658,barrel_scraper
708216108,barrel_scraper
708219108,bill_payer
708219858,bill_payer
708222558,card_master
708224133,card_master
708225483,bill_payer
708226833,golden_fish
708231183,bill_payer
708234558,card_master
708238833,barrel_scraper
708242283,bill_payer
708243483,bill_payer
708244458,card_master
708245808,golden_fish
708248358,golden_fish
708249708,barrel_scraper
708252108,bill_payer
708253458,bill_payer
708254733,card_master
708255633,card_master
708260208,card_master
708267858,barrel_scraper
708269583,card_master
708271833,bill_payer
708272808,card_master
708273858,bill_payer
708281433,bill_payer
708285108,golden_fish
708286683,bill_payer
708290208,bill_payer
708291633,card_master
708292833,bill_payer
708295533,barrel_scraper
708296883,barrel_scraper
708303108,card_master
708307533,bill_payer
708313608,barrel_scraper
708314808,barrel_scraper
708324483,bill_payer
708331758,bill_payer
708332808,golden_fish
708334158,bill_payer
708337683,bill_payer
708338958,card_master
708341958,card_master
708344358,barrel_scraper
708347583,barrel_scraper
708355683,bill_payer
708357183,bill_payer
708358683,barrel_scraper
708360108,card_master
708361833,bill_payer
708367908,card_master
708371733,golden_fish
708375858,card_master
708378108,card_master
708382083,bill_payer
708387933,golden_fish
708390633,card_master
708393633,card_master
708394908,card_master
708396033,golden_fish
708397008,bill_payer
708398283,barrel_scraper
708399858,card_master
708402333,bill_payer
708403308,bill_payer
708404883,bill_payer
708406083,card_master
708414033,card_master
708421833,barrel_scraper
708423933,bill_payer
708426483,bill_payer
708427908,card_master
708428958,golden_fish
708431433,barrel_scraper
708433683,card_master
708434733,barrel_scraper
708438033,card_master
708442158,bill_payer
708445608,card_master
708446808,barrel_scraper
708447858,golden_fish
708450033,card_master
708451233,bill_payer
708453408,bill_payer
708459633,barrel_scraper
708462258,golden_fish
708469533,bill_payer
708472008,golden_fish
708473133,bill_payer
708474333,golden_fish
708476808,barrel_scraper
708478233,bill_payer
708480333,card_master
708482658,golden_fish
708483708,bill_payer
708486033,barrel_scraper
708488208,card_master
708489258,card_master
